FSC	SSC	FL1	FL3	FL4
1345	1585	1721	2251	0
1084	1308	2884	2286	0
363	1653	1706	2562	0
0	1133	1308	2615	0
1160	1725	2916	0	0
0	1372	1159	2801	0
651	1021	1426	2459	0
793	1135	1613	2394	0
1775	1352	1896	2319	0
261	1512	0	2621	0
800	1488	3097	2770	0
0	2129	1164	2484	0
0	984	0	2554	0
0	1005	0	2673	0
0	950	2032	2297	0
911	1608	0	2595	0
660	1238	1761	2236	0
1409	2240	2011	2623	0
364	1649	1644	2602	0
1220	1469	0	0	0
338	1615	1598	2383	0
61	1238	2119	2254	0
0	1007	1855	2273	0
0	1469	1739	2456	0
0	1674	1670	2477	0
331	1400	1652	1709	0
0	1153	0	2259	0
1120	1645	3015	1542	0
422	1235	1508	485	0
638	1662	1758	2481	0
0	1223	0	2412	0
611	1031	1849	2514	0
0	1159	1937	2287	0
98	1150	1917	2428	0
1026	960	164	2125	0
0	1192	0	2751	0
752	1279	0	2062	0
880	1533	1572	427	0
724	1670	1747	2149	0
1041	1264	1150	2483	0
1195	2405	587	2516	0
263	1230	0	2201	0
0	1399	1848	2545	0
617	1485	1666	0	0
1269	1569	1483	2624	0
2091	2333	3018	1957	0
0	1403	0	2225	0
36	1303	1538	823	0
0	1657	2089	2402	0
787	1804	3029	2717	0
28	1217	2063	2351	0
277	1040	1708	2464	0
398	1220	1861	2491	0
2191	2503	2441	2480	0
188	1243	1514	2297	0
467	1476	1748	2409	0
558	1170	2031	2283	0
703	1538	1248	2542	0
1020	1366	1812	2351	0
595	1549	1798	0	0
443	1071	2018	2410	0
0	1109	955	2206	0
0	1578	1443	2544	0
264	1295	2006	797	0
702	1261	1640	0	0
518	1948	1455	2475	0
639	1283	1471	2354	0
202	1306	1325	0	0
0	1226	1932	2377	0
1303	1326	1849	2457	0
0	1218	0	2293	0
662	1555	1859	2228	0
536	1022	1565	2013	0
0	1138	1540	2422	0
2528	1421	2988	0	0
626	1230	0	1259	0
515	1247	0	2420	0
